C_ID,D_NAME,D_DESC,D_CATEGORY
PESURRC001,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC002,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC003,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC004,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC005,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC006,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC007,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC008,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC009,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC010,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC011,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC012,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC013,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC014,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC015,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC016,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC017,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC018,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC019,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC020,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC021,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC022,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC023,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC024,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC025,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC026,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC027,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC028,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC029,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC030,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC031,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC032,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC001,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC002,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC003,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC004,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC005,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC006,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC007,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC008,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC009,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC010,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC011,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC012,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC013,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC014,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC015,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC016,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC017,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC018,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC019,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC020,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC021,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC022,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC023,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC024,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC025,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC026,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC027,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC028,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC029,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC030,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC031,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC032,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
,,,
PESURRC001,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC002,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC003,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC004,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC005,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC006,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC007,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC008,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC009,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC010,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC011,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC012,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC013,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC014,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC015,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC016,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC017,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC018,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC019,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC020,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC021,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC022,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC023,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC024,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC025,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC026,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC027,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC028,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC029,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC030,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC031,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC032,Marketting,The marketting domain is responsible for reaching out to sponsers for funding and smooth functioning of events.,Non Technical
PESURRC001,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC002,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC003,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC004,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC005,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC006,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC007,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC008,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC009,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC010,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC011,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC012,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC013,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC014,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC015,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC016,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC017,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC018,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC019,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC020,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC021,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC022,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC023,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC024,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC025,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC026,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC027,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC028,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC029,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC030,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC031,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC032,Campaigning,Campaigning domain is responsible for reaching out to students to participate and engage in the club events and activities. They have to come up with unique ideas to ensure maximum reach.,Non Technical
PESURRC001,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC002,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC003,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC004,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC005,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC006,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC007,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC008,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC009,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC010,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC011,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC012,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC013,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC014,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC015,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC016,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC017,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC018,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC019,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC020,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC021,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC022,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC023,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC024,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC025,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC026,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC027,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC028,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC029,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC030,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC031,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
PESURRC032,Social Media,"Social Media domain manages the social media handles of the clubs like, instagram, facebook and X.",Non Technical
